,j050601_m,j050701_m,j050702_m,j052201_m,j052501_m,j052601_m,j052602_m,j053801_m,j053802_m,s051542_m,s051903_m,s052220_m,s052922_f,v051101_m,v051501_m,v051601_m,v051701_m,v052401_m,v053001_m,v053201_m,v054501_m,v054601_f,v064101_f,v064201_f,v090201_m
0,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,no,no,yes,no
1,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no
2,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no
3,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no
4,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,yes,no,no,yes,no
